Question,Answer,Article_Number,Type,Difficulty,Themes,Keyword,Clause,Theme
Explain Article 8 in detail.,"Article 8 (Rights of citizenship of certain persons of India origin residing outside India Notwithstanding anything in Article 5, any person who or either of whose parents or any of whose grand parents was born in India as defined in the Government of India Act, 1935) states: 8. Rights of citizenshi...",8,detailed_explanation,intermediate,fundamental_rights,,,
Which article deals with fundamental rights in the Indian Constitution?,"Article 8 (Rights of citizenship of certain persons of India origin residing outside India Notwithstanding anything in Article 5, any person who or either of whose parents or any of whose grand parents was born in India as defined in the Government of India Act, 1935) deals with fundamental rights.",8,theme_based,intermediate,fundamental_rights,,,fundamental_rights
What does the Constitution say about india?,"According to Article 8 (Rights of citizenship of certain persons of India origin residing outside India Notwithstanding anything in Article 5, any person who or either of whose parents or any of whose grand parents was born in India as defined in the Government of India Act, 1935), 8. Rights of citi...",8,keyword_search,intermediate,fundamental_rights,india,,
What does the Constitution say about residing?,"According to Article 8 (Rights of citizenship of certain persons of India origin residing outside India Notwithstanding anything in Article 5, any person who or either of whose parents or any of whose grand parents was born in India as defined in the Government of India Act, 1935), 8. Rights of citi...",8,keyword_search,intermediate,fundamental_rights,residing,,
What does the Constitution say about outside?,"According to Article 8 (Rights of citizenship of certain persons of India origin residing outside India Notwithstanding anything in Article 5, any person who or either of whose parents or any of whose grand parents was born in India as defined in the Government of India Act, 1935), 8. Rights of citi...",8,keyword_search,intermediate,fundamental_rights,outside,,
What does the Constitution say about whose?,"According to Article 8 (Rights of citizenship of certain persons of India origin residing outside India Notwithstanding anything in Article 5, any person who or either of whose parents or any of whose grand parents was born in India as defined in the Government of India Act, 1935), 8. Rights of citi...",8,keyword_search,intermediate,fundamental_rights,whose,,
What does the Constitution say about parents?,"According to Article 8 (Rights of citizenship of certain persons of India origin residing outside India Notwithstanding anything in Article 5, any person who or either of whose parents or any of whose grand parents was born in India as defined in the Government of India Act, 1935), 8. Rights of citi...",8,keyword_search,intermediate,fundamental_rights,parents,,
What is Article 9 of the Indian Constitution?,"Article 9 is titled 'Person voluntarily acquiring citizenship of a foreign State not to be citizens No person shall be a citizen of India by virtue of Article 5, or be dee'. 9. Person voluntarily acquiring citizenship of a foreign State not to be citizens No person shall be a citizen of India by vir...",9,overview,basic,federal_structure,,,
What is the title of Article 9?,"Person voluntarily acquiring citizenship of a foreign State not to be citizens No person shall be a citizen of India by virtue of Article 5, or be dee",9,title,basic,federal_structure,,,
Explain Article 9 in detail.,"Article 9 (Person voluntarily acquiring citizenship of a foreign State not to be citizens No person shall be a citizen of India by virtue of Article 5, or be dee) states: 9. Person voluntarily acquiring citizenship of a foreign State not to be citizens No person shall be a citizen of India by virtue...",9,detailed_explanation,intermediate,federal_structure,,,
Which article deals with federal structure in the Indian Constitution?,"Article 9 (Person voluntarily acquiring citizenship of a foreign State not to be citizens No person shall be a citizen of India by virtue of Article 5, or be dee) deals with federal structure.",9,theme_based,intermediate,federal_structure,,,federal_structure
What does the Constitution say about person?,"According to Article 9 (Person voluntarily acquiring citizenship of a foreign State not to be citizens No person shall be a citizen of India by virtue of Article 5, or be dee), 9. Person voluntarily acquiring citizenship of a foreign State not to be citizens No person shall be a citizen of India by ...",9,keyword_search,intermediate,federal_structure,person,,
